STT,Ten file video,Phan doan,Dien tich nut luoi (m2),Dien tich nut don (m2),Tong dien tich nut (m2),Ti le dien tich nut (%),Chi so PCI (0-100),Tinh trang mat duong (ASTM D6433)
1,nhom 4 .mp4,0m - 50m,0.0,0.008,0.008,0.0366,99.95,Good (Tot)
2,nhom 4 .mp4,50m - 100m,0.022,0.0,0.022,0.0987,99.7,Good (Tot)
3,nhom 4 .mp4,100m - 150m,0.126,0.0,0.126,0.5622,98.31,Good (Tot)
4,nhom 4 .mp4,150m - 200m,0.412,0.018,0.43,1.9115,94.39,Good (Tot)
5,nhom 4 .mp4,200m - 250m,1.301,0.027,1.328,5.9005,82.48,Satisfactory (Hai long)
6,nhom 4 .mp4,250m - 300m,0.754,0.0,0.754,3.3525,89.94,Good (Tot)
7,nhom 4 .mp4,300m - 350m,1.19,0.0,1.19,5.2889,84.13,Satisfactory (Hai long)
8,nhom 4 .mp4,350m - 400m,0.107,0.0,0.107,0.4734,98.58,Good (Tot)
9,nhom 4 .mp4,400m - 450m,0.577,0.0,0.577,2.5655,92.3,Good (Tot)
10,nhom 4 .mp4,450m - 500m,0.152,0.0,0.152,0.6737,97.98,Good (Tot)
11,nhom 4 .mp4,500m - 550m,0.44,0.0,0.44,1.9546,94.14,Good (Tot)
12,nhom 4 .mp4,550m - 600m,0.434,0.0,0.434,1.9306,94.21,Good (Tot)
13,nhom 4 .mp4,600m - 650m,0.569,0.0,0.569,2.5275,92.42,Good (Tot)
14,nhom 4 .mp4,650m - 700m,0.284,0.0,0.284,1.2624,96.21,Good (Tot)
15,nhom 4 .mp4,700m - 750m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
16,nhom 4 .mp4,750m - 800m,0.453,0.0,0.453,2.0125,93.96,Good (Tot)
17,nhom 4 .mp4,800m - 850m,1.087,0.0,1.087,4.8303,85.51,Good (Tot)
18,nhom 4 .mp4,850m - 900m,0.211,0.0,0.211,0.9385,97.18,Good (Tot)
19,nhom 4 .mp4,900m - 950m,0.564,0.0,0.564,2.506,92.48,Good (Tot)
20,nhom 4 .mp4,950m - 1000m,0.454,0.0,0.454,2.0194,93.94,Good (Tot)
21,nhom 7.2.mp4,0m - 50m,0.005,0.0,0.005,0.0228,99.93,Good (Tot)
22,nhom 7.2.mp4,50m - 100m,0.11,0.0,0.11,0.4877,98.54,Good (Tot)
23,nhom 7.2.mp4,100m - 150m,0.005,0.0,0.005,0.0244,99.93,Good (Tot)
24,nhom 7.2.mp4,150m - 200m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
25,nhom 7.2.mp4,200m - 250m,0.036,0.0,0.036,0.1582,99.53,Good (Tot)
26,nhom 7.2.mp4,250m - 300m,0.032,0.0,0.032,0.1405,99.58,Good (Tot)
27,nhom 7.2.mp4,300m - 350m,0.015,0.0,0.015,0.0652,99.8,Good (Tot)
28,nhom 7.2.mp4,350m - 400m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
29,nhom 7.2.mp4,400m - 450m,0.058,0.0,0.058,0.2586,99.22,Good (Tot)
30,nhom 7.2.mp4,450m - 500m,0.065,0.0,0.065,0.289,99.13,Good (Tot)
31,nhom 7.2.mp4,500m - 550m,0.326,0.008,0.334,1.4862,95.6,Good (Tot)
32,nhom 7.2.mp4,550m - 600m,0.016,0.0,0.016,0.0703,99.79,Good (Tot)
33,nhom 7.2.mp4,600m - 650m,0.081,0.0,0.081,0.3593,98.92,Good (Tot)
34,nhom 7.2.mp4,650m - 700m,0.177,0.0,0.177,0.7847,97.65,Good (Tot)
35,nhom 7.2.mp4,700m - 750m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
36,nhom 7.2.mp4,750m - 800m,0.015,0.0,0.015,0.0675,99.8,Good (Tot)
37,nhom 7.2.mp4,800m - 850m,0.175,0.0,0.175,0.7799,97.66,Good (Tot)
38,nhom 7.2.mp4,850m - 900m,0.274,0.0,0.274,1.2174,96.35,Good (Tot)
39,nhom 7.2.mp4,900m - 950m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
40,nhom 7.2.mp4,950m - 1000m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
41,nhom1.2.mp4,0m - 50m,0.02,0.0,0.02,0.0892,99.73,Good (Tot)
42,nhom1.2.mp4,50m - 100m,0.817,0.0,0.817,3.6305,89.11,Good (Tot)
43,nhom1.2.mp4,100m - 150m,0.869,0.0,0.869,3.8609,88.42,Good (Tot)
44,nhom1.2.mp4,150m - 200m,0.362,0.0,0.362,1.609,95.17,Good (Tot)
45,nhom1.2.mp4,200m - 250m,0.123,0.01,0.133,0.5896,98.3,Good (Tot)
46,nhom1.2.mp4,250m - 300m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
47,nhom1.2.mp4,300m - 350m,0.402,0.0,0.402,1.7848,94.65,Good (Tot)
48,nhom1.2.mp4,350m - 400m,0.275,0.0,0.275,1.2219,96.33,Good (Tot)
49,nhom1.2.mp4,400m - 450m,0.046,0.0,0.046,0.204,99.39,Good (Tot)
50,nhom1.2.mp4,450m - 500m,0.02,0.0,0.02,0.0887,99.73,Good (Tot)
51,nhom1.2.mp4,500m - 550m,0.05,0.0,0.05,0.2241,99.33,Good (Tot)
52,nhom1.2.mp4,550m - 600m,0.079,0.0,0.079,0.3533,98.94,Good (Tot)
53,nhom1.2.mp4,600m - 650m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
54,nhom1.2.mp4,650m - 700m,0.288,0.0,0.288,1.2791,96.16,Good (Tot)
55,nhom1.2.mp4,700m - 750m,0.128,0.0,0.128,0.5697,98.29,Good (Tot)
56,nhom1.2.mp4,750m - 800m,0.021,0.0,0.021,0.095,99.72,Good (Tot)
57,nhom1.2.mp4,800m - 850m,0.11,0.02,0.129,0.5745,98.41,Good (Tot)
58,nhom1.2.mp4,850m - 900m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
59,nhom1.2.mp4,900m - 950m,0.277,0.0,0.277,1.2299,96.31,Good (Tot)
60,nhom1.2.mp4,950m - 1000m,0.126,0.0,0.126,0.5601,98.32,Good (Tot)
61,nhom1.mp4,0m - 50m,0.02,0.0,0.02,0.0892,99.73,Good (Tot)
62,nhom1.mp4,50m - 100m,0.817,0.0,0.817,3.6305,89.11,Good (Tot)
63,nhom1.mp4,100m - 150m,0.869,0.0,0.869,3.8609,88.42,Good (Tot)
64,nhom1.mp4,150m - 200m,0.362,0.0,0.362,1.609,95.17,Good (Tot)
65,nhom1.mp4,200m - 250m,0.123,0.01,0.133,0.5896,98.3,Good (Tot)
66,nhom1.mp4,250m - 300m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
67,nhom1.mp4,300m - 350m,0.402,0.0,0.402,1.7848,94.65,Good (Tot)
68,nhom1.mp4,350m - 400m,0.275,0.0,0.275,1.2219,96.33,Good (Tot)
69,nhom1.mp4,400m - 450m,0.046,0.0,0.046,0.204,99.39,Good (Tot)
70,nhom1.mp4,450m - 500m,0.02,0.0,0.02,0.0887,99.73,Good (Tot)
71,nhom1.mp4,500m - 550m,0.05,0.0,0.05,0.2241,99.33,Good (Tot)
72,nhom1.mp4,550m - 600m,0.079,0.0,0.079,0.3533,98.94,Good (Tot)
73,nhom1.mp4,600m - 650m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
74,nhom1.mp4,650m - 700m,0.288,0.0,0.288,1.2791,96.16,Good (Tot)
75,nhom1.mp4,700m - 750m,0.128,0.0,0.128,0.5697,98.29,Good (Tot)
76,nhom1.mp4,750m - 800m,0.021,0.0,0.021,0.095,99.72,Good (Tot)
77,nhom1.mp4,800m - 850m,0.11,0.02,0.129,0.5745,98.41,Good (Tot)
78,nhom1.mp4,850m - 900m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
79,nhom1.mp4,900m - 950m,0.277,0.0,0.277,1.2299,96.31,Good (Tot)
80,nhom1.mp4,950m - 1000m,0.126,0.0,0.126,0.5601,98.32,Good (Tot)
81,nhom3.2.mp4,0m - 50m,0.56,0.0,0.56,2.4869,92.54,Good (Tot)
82,nhom3.2.mp4,50m - 100m,0.615,0.0,0.615,2.7339,91.8,Good (Tot)
83,nhom3.2.mp4,100m - 150m,0.31,0.0,0.31,1.3787,95.86,Good (Tot)
84,nhom3.2.mp4,150m - 200m,0.393,0.0,0.393,1.7485,94.75,Good (Tot)
85,nhom3.2.mp4,200m - 250m,0.605,0.0,0.605,2.6895,91.93,Good (Tot)
86,nhom3.2.mp4,250m - 300m,0.184,0.0,0.184,0.8185,97.54,Good (Tot)
87,nhom3.2.mp4,300m - 350m,0.364,0.0,0.364,1.6183,95.15,Good (Tot)
88,nhom3.2.mp4,350m - 400m,0.377,0.0,0.377,1.6763,94.97,Good (Tot)
89,nhom3.2.mp4,400m - 450m,0.23,0.0,0.23,1.0223,96.93,Good (Tot)
90,nhom3.2.mp4,450m - 500m,0.14,0.0,0.14,0.6225,98.13,Good (Tot)
91,nhom3.2.mp4,500m - 550m,0.523,0.0,0.523,2.326,93.02,Good (Tot)
92,nhom3.2.mp4,550m - 600m,0.878,0.0,0.878,3.904,88.29,Good (Tot)
93,nhom3.2.mp4,600m - 650m,0.757,0.0,0.757,3.3631,89.91,Good (Tot)
94,nhom3.2.mp4,650m - 700m,0.581,0.0,0.581,2.5812,92.26,Good (Tot)
95,nhom3.2.mp4,700m - 750m,1.136,0.0,1.136,5.0497,84.85,Satisfactory (Hai long)
96,nhom3.2.mp4,750m - 800m,0.197,0.0,0.197,0.8757,97.37,Good (Tot)
97,nhom3.2.mp4,800m - 850m,0.221,0.0,0.221,0.9812,97.06,Good (Tot)
98,nhom3.2.mp4,850m - 900m,0.048,0.0,0.048,0.2113,99.37,Good (Tot)
99,nhom3.2.mp4,900m - 950m,0.259,0.0,0.259,1.153,96.54,Good (Tot)
100,nhom3.2.mp4,950m - 1000m,0.267,0.0,0.267,1.1879,96.44,Good (Tot)
101,nhom3.mp4,0m - 50m,0.311,0.0,0.311,1.3818,95.85,Good (Tot)
102,nhom3.mp4,50m - 100m,0.206,0.0,0.206,0.9167,97.25,Good (Tot)
103,nhom3.mp4,100m - 150m,0.604,0.0,0.604,2.6855,91.94,Good (Tot)
104,nhom3.mp4,150m - 200m,0.509,0.0,0.509,2.2607,93.22,Good (Tot)
105,nhom3.mp4,200m - 250m,0.072,0.0,0.072,0.3179,99.05,Good (Tot)
106,nhom3.mp4,250m - 300m,0.336,0.0,0.336,1.4926,95.52,Good (Tot)
107,nhom3.mp4,300m - 350m,0.564,0.0,0.564,2.5085,92.47,Good (Tot)
108,nhom3.mp4,350m - 400m,0.812,0.0,0.812,3.61,89.17,Good (Tot)
109,nhom3.mp4,400m - 450m,0.774,0.0,0.774,3.4384,89.68,Good (Tot)
110,nhom3.mp4,450m - 500m,0.283,0.0,0.283,1.257,96.23,Good (Tot)
111,nhom3.mp4,500m - 550m,0.096,0.0,0.096,0.4288,98.71,Good (Tot)
112,nhom3.mp4,550m - 600m,0.501,0.0,0.501,2.2282,93.32,Good (Tot)
113,nhom3.mp4,600m - 650m,0.017,0.0,0.017,0.0751,99.77,Good (Tot)
114,nhom3.mp4,650m - 700m,0.046,0.0,0.046,0.2049,99.39,Good (Tot)
115,nhom3.mp4,700m - 750m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
116,nhom3.mp4,750m - 800m,0.004,0.0,0.004,0.0182,99.95,Good (Tot)
117,nhom3.mp4,800m - 850m,0.038,0.0,0.038,0.167,99.5,Good (Tot)
118,nhom3.mp4,850m - 900m,0.008,0.0,0.008,0.0356,99.89,Good (Tot)
119,nhom3.mp4,900m - 950m,0.405,0.0,0.405,1.8003,94.6,Good (Tot)
120,nhom3.mp4,950m - 1000m,0.893,0.0,0.893,3.9667,88.1,Good (Tot)
121,nhom4.2.mp4,0m - 50m,1.137,0.0,1.137,5.0518,84.84,Satisfactory (Hai long)
122,nhom4.2.mp4,50m - 100m,0.197,0.0,0.197,0.8745,97.38,Good (Tot)
123,nhom4.2.mp4,100m - 150m,0.599,0.0,0.599,2.6615,92.02,Good (Tot)
124,nhom4.2.mp4,150m - 200m,1.681,0.0,1.681,7.4733,77.58,Satisfactory (Hai long)
125,nhom4.2.mp4,200m - 250m,1.18,0.0,1.18,5.2458,84.26,Satisfactory (Hai long)
126,nhom4.2.mp4,250m - 300m,1.212,0.02,1.232,5.4752,83.71,Satisfactory (Hai long)
127,nhom4.2.mp4,300m - 350m,0.785,0.0,0.785,3.4874,89.54,Good (Tot)
128,nhom4.2.mp4,350m - 400m,0.452,0.0,0.452,2.0094,93.97,Good (Tot)
129,nhom4.2.mp4,400m - 450m,0.745,0.0,0.745,3.3119,90.06,Good (Tot)
130,nhom4.2.mp4,450m - 500m,0.957,0.0,0.957,4.2549,87.24,Good (Tot)
131,nhom4.2.mp4,500m - 550m,1.861,0.0,1.861,8.2704,75.19,Satisfactory (Hai long)
132,nhom4.2.mp4,550m - 600m,6.65,0.0,6.65,29.5546,11.34,Serious (Nghiem trong)
133,nhom4.2.mp4,600m - 650m,3.921,0.0,3.921,17.4266,47.72,Poor (Kem)
134,nhom4.2.mp4,650m - 700m,0.174,0.0,0.174,0.7719,97.68,Good (Tot)
135,nhom4.2.mp4,700m - 750m,0.801,0.0,0.801,3.5614,89.32,Good (Tot)
136,nhom4.2.mp4,750m - 800m,1.078,0.0,1.078,4.7917,85.62,Good (Tot)
137,nhom4.2.mp4,800m - 850m,0.365,0.0,0.365,1.6241,95.13,Good (Tot)
138,nhom4.2.mp4,850m - 900m,1.492,0.0,1.492,6.6326,80.1,Satisfactory (Hai long)
139,nhom4.2.mp4,900m - 950m,0.361,0.0,0.361,1.6045,95.19,Good (Tot)
140,nhom4.2.mp4,950m - 1000m,0.385,0.0,0.385,1.7131,94.86,Good (Tot)
141,nhom7.mp4,0m - 50m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
142,nhom7.mp4,50m - 100m,0.071,0.0,0.071,0.3157,99.05,Good (Tot)
143,nhom7.mp4,100m - 150m,0.059,0.0,0.059,0.2627,99.21,Good (Tot)
144,nhom7.mp4,150m - 200m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
145,nhom7.mp4,200m - 250m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
146,nhom7.mp4,250m - 300m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
147,nhom7.mp4,300m - 350m,0.015,0.0,0.015,0.0664,99.8,Good (Tot)
148,nhom7.mp4,350m - 400m,0.14,0.0,0.14,0.623,98.13,Good (Tot)
149,nhom7.mp4,400m - 450m,0.119,0.048,0.166,0.738,98.1,Good (Tot)
150,nhom7.mp4,450m - 500m,0.111,0.058,0.169,0.7503,98.14,Good (Tot)
151,nhom7.mp4,500m - 550m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
152,nhom7.mp4,550m - 600m,0.443,0.082,0.525,2.3329,93.55,Good (Tot)
153,nhom7.mp4,600m - 650m,0.41,0.036,0.446,1.9815,94.3,Good (Tot)
154,nhom7.mp4,650m - 700m,0.146,0.0,0.146,0.6509,98.05,Good (Tot)
155,nhom7.mp4,700m - 750m,0.238,0.0,0.238,1.0568,96.83,Good (Tot)
156,nhom7.mp4,750m - 800m,0.088,0.0,0.088,0.3928,98.82,Good (Tot)
157,nhom7.mp4,800m - 850m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
158,nhom7.mp4,850m - 900m,0.022,0.0,0.022,0.0976,99.71,Good (Tot)
159,nhom7.mp4,900m - 950m,0.092,0.0,0.092,0.4099,98.77,Good (Tot)
160,nhom7.mp4,950m - 1000m,0.031,0.0,0.031,0.1387,99.58,Good (Tot)
161,nhom9.2.mp4,0m - 50m,0.191,0.0,0.191,0.8476,97.46,Good (Tot)
162,nhom9.2.mp4,50m - 100m,0.216,0.0,0.216,0.9604,97.12,Good (Tot)
163,nhom9.2.mp4,100m - 150m,0.078,0.0,0.078,0.3451,98.96,Good (Tot)
164,nhom9.2.mp4,150m - 200m,0.075,0.0,0.075,0.3352,98.99,Good (Tot)
165,nhom9.2.mp4,200m - 250m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
166,nhom9.2.mp4,250m - 300m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
167,nhom9.2.mp4,300m - 350m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
168,nhom9.2.mp4,350m - 400m,0.069,0.0,0.069,0.3047,99.09,Good (Tot)
169,nhom9.2.mp4,400m - 450m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
170,nhom9.2.mp4,450m - 500m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
171,nhom9.2.mp4,500m - 550m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
172,nhom9.2.mp4,550m - 600m,0.009,0.0,0.009,0.0384,99.88,Good (Tot)
173,nhom9.2.mp4,600m - 650m,0.09,0.0,0.09,0.401,98.8,Good (Tot)
174,nhom9.2.mp4,650m - 700m,0.157,0.0,0.157,0.6959,97.91,Good (Tot)
175,nhom9.2.mp4,700m - 750m,0.235,0.0,0.235,1.0464,96.86,Good (Tot)
176,nhom9.2.mp4,750m - 800m,0.209,0.0,0.209,0.9286,97.21,Good (Tot)
177,nhom9.2.mp4,800m - 850m,0.062,0.0,0.062,0.2744,99.18,Good (Tot)
178,nhom9.2.mp4,850m - 900m,1.767,0.0,1.767,7.8529,76.44,Satisfactory (Hai long)
179,nhom9.2.mp4,900m - 950m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
180,nhom9.2.mp4,950m - 1000m,0.058,0.0,0.058,0.2564,99.23,Good (Tot)
181,nhom9.mp4,0m - 50m,0.166,0.0,0.166,0.7386,97.78,Good (Tot)
182,nhom9.mp4,50m - 100m,0.077,0.0,0.077,0.3437,98.97,Good (Tot)
183,nhom9.mp4,100m - 150m,0.12,0.0,0.12,0.5341,98.4,Good (Tot)
184,nhom9.mp4,150m - 200m,0.269,0.0,0.269,1.1964,96.41,Good (Tot)
185,nhom9.mp4,200m - 250m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
186,nhom9.mp4,250m - 300m,0.012,0.0,0.012,0.0542,99.84,Good (Tot)
187,nhom9.mp4,300m - 350m,0.136,0.0,0.136,0.6039,98.19,Good (Tot)
188,nhom9.mp4,350m - 400m,0.125,0.0,0.125,0.5572,98.33,Good (Tot)
189,nhom9.mp4,400m - 450m,0.138,0.0,0.138,0.6133,98.16,Good (Tot)
190,nhom9.mp4,450m - 500m,0.433,0.0,0.433,1.9256,94.22,Good (Tot)
191,nhom9.mp4,500m - 550m,0.267,0.0,0.267,1.1878,96.44,Good (Tot)
192,nhom9.mp4,550m - 600m,0.121,0.0,0.121,0.5384,98.38,Good (Tot)
193,nhom9.mp4,600m - 650m,0.404,0.0,0.404,1.7945,94.62,Good (Tot)
194,nhom9.mp4,650m - 700m,0.209,0.0,0.209,0.9289,97.21,Good (Tot)
195,nhom9.mp4,700m - 750m,0.142,0.0,0.142,0.6328,98.1,Good (Tot)
196,nhom9.mp4,750m - 800m,0.143,0.0,0.143,0.6364,98.09,Good (Tot)
197,nhom9.mp4,800m - 850m,0.366,0.0,0.366,1.6256,95.12,Good (Tot)
198,nhom9.mp4,850m - 900m,0.236,0.0,0.236,1.051,96.85,Good (Tot)
199,nhom9.mp4,900m - 950m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
200,nhom9.mp4,950m - 1000m,0.02,0.0,0.02,0.0888,99.73,Good (Tot)
